Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.38556671142578,35.250692053827606,26.767990316905017,28.9087865499696,855215656
1,2007-10-08,30.727678298950195,33.480131103573534,30.53452287353543,33.480131103573534,126671715
2,2007-10-09,32.82017517089844,33.10990603070133,29.085854182395227,30.743762670622203,116725709
3,2007-10-10,33.12600326538086,33.80204486122549,32.83627240041195,33.67327388987095,67931378
4,2007-10-11,36.828121185302734,38.63089683676507,32.83626362116269,38.63089683676507,106320954
5,2007-10-12,36.586692810058594,37.95487064587003,35.733594562180855,36.05551875884237,99410791
6,2007-10-15,37.069580078125,37.56856521587449,36.747655873012995,37.3432165257455,41814972
7,2007-10-16,40.85218048095703,41.49603311559861,36.860322090982606,37.11785965173882,138614496
8,2007-10-17,44.03923797607422,45.06939270416665,34.15616198974703,36.699364252332515,204876259
9,2007-10-18,42.493988037109375,48.11156507806141,40.6751178265235,44.747456636582996,146617799
10,2007-10-19,42.34913635253906,44.0714315530647,40.240530397481606,41.52822709075295,110266491
11,2007-10-22,41.785770416259766,43.08956161430028,40.401493805880655,41.49603952407034,72253405
12,2007-10-23,44.7635612487793,45.165966407860594,42.81591765900058,42.81591765900058,74594921
13,2007-10-24,44.0714225769043,46.19612256133313,43.57243759006581,45.713232033332105,63055170
14,2007-10-25,43.9748420715332,45.0050009475827,38.84015088263432,42.574471350344865,34522489
15,2007-10-26,45.29473876953125,46.019068113191636,43.54025039055912,44.74746596332643,62370025
16,2007-10-29,46.21220779418945,47.32284749074666,45.80980273983891,46.03515131682492,43657697
17,2007-10-30,47.24238204956055,48.513979820564494,45.45570039958244,46.839976862589225,79921711
18,2007-10-31,48.22423553466797,49.286587552362576,47.32284991332816,47.483811943308446,44655368
19,2007-11-01,47.14579391479492,49.7855732248209,46.759487622891704,49.41536139102304,50632492
20,2007-11-02,47.998905181884766,48.28864043902508,45.06939424998914,45.439610552695946,32001693
21,2007-11-05,48.98077392578125,50.05922075170029,47.67697843783403,47.96671367940626,38833135
22,2007-11-06,49.624610900878906,52.76337079112563,48.94856943585847,49.8338606869537,81880281
23,2007-11-07,48.900291442871094,51.25033603130588,47.80575018752306,50.542105509081054,33593141
24,2007-11-08,48.063270568847656,49.367065551873225,47.00092298241875,47.644771063011845,27990521
25,2007-11-12,49.22222900390625,50.09142620696939,45.343039254089796,46.61464176109383,35153735
26,2007-11-13,50.39723205566406,51.41129215469643,48.46568734650706,50.05921347811171,43830531
